scene_id,ndvi_mean,ndvi_std,red_mean,nir_mean,label_x,label_y
S2A_MSIL1C_20260406T100051_N0512_R122_T32SPF_20260406T151531.SAFE,0.0982390770765105,0.1984140925142083,1683.7654420108097,2419.82670813136,,
S2A_MSIL1C_20260409T101051_N0512_R022_T32SPF_20260409T152519.SAFE,0.0198281538647329,0.0910524018522848,281.89713321289577,414.3961397606511,,
S2A_MSIL1C_20260426T100051_N0512_R122_T32SPF_20260426T151525.SAFE,0.0949621734417898,0.178717508753776,1839.453149284508,2534.078514819128,,
S2A_MSIL1C_20260506T100041_N0512_R122_T32SPF_20260506T151521.SAFE,0.0113380859692066,0.012683942792151,7533.2222334033395,7711.26966342182,,
S2A_MSIL1C_20260526T100041_N0512_R122_T32SPF_20260526T151555.SAFE,0.0555386529188344,0.1211394148801461,2190.955687315238,2620.674454572148,,
S2B_MSIL1C_20260412T101019_N0512_R022_T32SPF_20260412T134431.SAFE,0.0078281463324173,0.0329932385266857,1599.4419545887372,1695.6558688756838,,
S2B_MSIL1C_20260509T100019_N0512_R122_T32SPF_20260509T133418.SAFE,0.0247990625260042,0.0623161162351295,3978.5340592848074,4249.377612350324,,
S2B_MSIL1C_20260608T100029_N0512_R122_T32SPF_20260608T134034.SAFE,0.0127484355443725,0.0488717127069249,4709.526060281817,4909.3579737044665,,
S2C_MSIL1C_20260524T100021_N0512_R122_T32SPF_20260524T133919.SAFE,0.0599478334601165,0.1341205849377938,2065.936700259787,2541.212544168732,,
S2C_MSIL1C_20260613T100031_N0512_R122_T32SPF_20260613T133922.SAFE,0.0531025946610316,0.1244937831260117,2202.373085681534,2641.7514668083386,,
