scene_name,label,BlurFilter__dn_range,TOAScalingFilter__max_dn,composite_score,predicted
S2A_MSIL1C_20240108T101401_N0510_R022_T32SPF_20240108T120827.SAFE,0,16288.0,22681.0,0.30468756515772727,0
S2A_MSIL1C_20240115T100341_N0510_R122_T32SPF_20240115T105032.SAFE,0,17062.0,28000.0,0.7906808006703506,0
S2A_MSIL1C_20240118T101331_N0510_R022_T32SPF_20240118T121139.SAFE,0,20346.0,28000.0,1.1016466642068095,0
S2A_MSIL1C_20240125T100311_N0510_R122_T32SPF_20240125T104959.SAFE,0,28736.0,28000.0,1.896105737005497,1
S2A_MSIL1C_20240315T100031_N0510_R122_T32SPF_20240315T120237.SAFE,0,13140.0,18295.0,-0.33371089882794813,0
S2A_MSIL1C_20240318T100731_N0510_R022_T32SPF_20240318T120956.SAFE,0,21097.0,21272.0,0.6507329044389453,0
S2A_MSIL1C_20240328T100631_N0510_R022_T32SPF_20240328T120957.SAFE,0,24584.0,23169.0,1.1281096821436298,0
S2A_MSIL1C_20240404T100021_N0510_R122_T32SPF_20240404T134104.SAFE,0,6793.0,6920.0,-1.817304359062641,0
S2A_MSIL1C_20240507T100601_N0510_R022_T32SPF_20240507T121117.SAFE,1,21189.0,20211.0,0.5771212952463456,0
S2A_MSIL1C_20240603T100031_N0510_R122_T32SPF_20240603T134002.SAFE,0,12919.0,16608.0,-0.48553231311462186,0
S2A_MSIL1C_20240606T100601_N0510_R022_T32SPF_20240606T153007.SAFE,0,20461.0,21635.0,0.6186745498064081,0
S2A_MSIL1C_20240613T100031_N0510_R122_T32SPF_20240613T134114.SAFE,0,12779.0,19978.0,-0.2373101171235561,0
S2A_MSIL1C_20240623T100031_N0510_R122_T32SPF_20240623T134011.SAFE,0,13970.0,20591.0,-0.07697012094740809,0
S2A_MSIL1C_20240904T100551_N0511_R022_T32SPF_20240904T153022.SAFE,0,15976.0,18618.0,-0.04010505431960605,0
S2A_MSIL1C_20240911T100021_N0511_R122_T32SPF_20240911T123232.SAFE,0,15184.0,19864.0,-0.018423090820766617,0
S2A_MSIL1C_20240914T100631_N0511_R022_T32SPF_20240914T135115.SAFE,0,12921.0,13048.0,-0.7615640304859361,0
S2A_MSIL1C_20240921T100031_N0511_R122_T32SPF_20240921T120138.SAFE,0,9276.0,10372.0,-1.3143447791169454,0
S2A_MSIL1C_20241031T100141_N0511_R122_T32SPF_20241031T120422.SAFE,1,18107.0,21878.0,0.41462590948098127,0
S2A_MSIL1C_20250325T100701_N0511_R022_T32SPF_20250325T135043.SAFE,1,21853.0,19571.0,0.5903385187144341,0
S2B_MSIL1C_20240103T101329_N0510_R022_T32SPF_20240103T110304.SAFE,0,25530.0,28000.0,1.5925257861839723,0
S2B_MSIL1C_20240113T101309_N0510_R022_T32SPF_20240113T110023.SAFE,0,22554.0,28000.0,1.3107248087526382,0
S2B_MSIL1C_20240120T100239_N0510_R122_T32SPF_20240120T104942.SAFE,0,21003.0,26480.0,1.0459216763827581,0
S2B_MSIL1C_20240303T100819_N0510_R022_T32SPF_20240303T121438.SAFE,0,12715.0,12945.0,-0.7890622055939904,0
S2B_MSIL1C_20240313T100709_N0510_R022_T32SPF_20240313T121251.SAFE,0,14487.0,14410.0,-0.50759978134252,0
S2B_MSIL1C_20240320T095649_N0510_R122_T32SPF_20240320T120139.SAFE,0,10148.0,11915.0,-1.1120523893216059,0
S2B_MSIL1C_20240323T100649_N0510_R022_T32SPF_20240323T121051.SAFE,0,15651.0,15789.0,-0.2903823566961145,0
S2B_MSIL1C_20240601T100559_N0510_R022_T32SPF_20240601T121029.SAFE,0,13861.0,13523.0,-0.6356989697867785,0
S2B_MSIL1C_20240608T095549_N0510_R122_T32SPF_20240608T120316.SAFE,0,12662.0,18606.0,-0.35484273587435816,0
S2B_MSIL1C_20240611T100559_N0510_R022_T32SPF_20240611T120915.SAFE,0,17176.0,19959.0,0.17757282564908064,0
S2B_MSIL1C_20240621T100559_N0510_R022_T32SPF_20240621T134952.SAFE,0,8785.0,9368.0,-1.438738710090405,0
S2B_MSIL1C_20240906T095549_N0511_R122_T32SPF_20240906T152044.SAFE,0,6974.0,16730.0,-1.03900542567657,0
S2B_MSIL1C_20240909T100559_N0511_R022_T32SPF_20240909T124756.SAFE,0,18168.0,24128.0,0.5949800142456672,0
S2B_MSIL1C_20240916T100029_N0511_R122_T32SPF_20240916T134031.SAFE,0,14708.0,16059.0,-0.35872679452507317,0
S2B_MSIL1C_20240926T100029_N0511_R122_T32SPF_20240926T123754.SAFE,0,11643.0,20568.0,-0.29910109146379177,0
S2B_MSIL1C_20241125T100249_N0511_R122_T32SPF_20241125T120151.SAFE,1,25589.0,28000.0,1.5981125663144995,1
S2B_MSIL1C_20241228T101339_N0511_R022_T32SPF_20241228T120532.SAFE,1,27419.0,28000.0,1.7713974415494933,1
S2B_MSIL1C_20250124T100219_N0511_R122_T32SPF_20250124T133546.SAFE,1,29110.0,28000.0,1.9315202415617199,1
S2C_MSIL1C_20241210T100441_N0511_R122_T32SPF_20260520T142112.SAFE,0,17977.0,26375.0,0.7512391688801205,0
S2C_MSIL1C_20241210T100441_N9905_R122_T32SPF_20241210T120009.SAFE,0,20235.0,28000.0,1.0911359422663263,0
S2C_MSIL1C_20241213T101451_N0511_R022_T32SPF_20260430T194031.SAFE,0,18792.0,28000.0,0.9544965570400443,0
S2C_MSIL1C_20241213T101451_N9905_R022_T32SPF_20241213T121010.SAFE,0,19159.0,28000.0,0.9892482232756961,0
S2C_MSIL1C_20250303T100951_N0511_R022_T32SPF_20250303T135017.SAFE,0,3918.0,3871.0,-2.3261140357471968,0
S2C_MSIL1C_20250303T100951_N0511_R022_T32SPF_20250303T142650.SAFE,0,15268.0,16410.0,-0.27846556988732296,0
S2C_MSIL1C_20250310T100051_N0511_R122_T32SPF_20250310T134532.SAFE,0,16464.0,18635.0,0.007423279084555187,0
S2C_MSIL1C_20250320T100051_N0511_R122_T32SPF_20250320T134551.SAFE,0,11392.0,18403.0,-0.49085135536506685,0
